Insitutype_Labelled,color_CellType
Central.venous.LSEC,#deb28b
Fetal.arterial.EC,#c3b1a1
Fetal.venous.EC,#d3a985
Mature.arterial.EC,#e0a775
Mature.venous.EC,#774f2b
Periportal.LSEC,#efb786
Portal.endothelial.cells,#d19866
arterial.capillary,#c8b7a8
cycling.EC,#dbc2ac
endothelial-appendix,#b89372
venous.capillary,#724b28
ACKR1.EC,#cfc1b4
FN1.EC,#8e633c
HEV,#b57740
PLVAP.EC,#b1733d
BEST2+.Goblet.cell,#3989c1
BEST4+.epithelial,#62aadc
CLDN10+.cells,#b7cddd
Cholangiocyte,#1a77b7
Colonocyte,#2d536e
EECs,#74b2dd
Enterocyte,#1d5d89
Goblet.cell,#336c94
Hepatocyte.A,#6aa6d1
Hepatocyte.B,#2388cf
Hepatocyte.C,#81a3bb
Hepatocyte.D,#769bb4
Hepatocyte.E,#4d6e84
Microfold.cell,#2a8acc
Paneth,#7092aa
Tuft,#e8b5ab
epithelial-appendix-01,#24597f
epithelial-appendix-02,#5da8dc
epithelial-appendix-04,#78b6e2
epithelial-colon-01,#195984
epithelial-colon-02,#a8c1d2
epithelial-colon-03,#265e84
epithelial-colon-04,#275677
epithelial-ileum-01,#435d6f
epithelial-ileum-02,#266896
epithelial-stomach-01,#95c0de
epithelial-stomach-02,#b2ccde
epithelial-stomach-03,#a9c9df
epithelial-stomach-04,#6d90a9
epithelial-stomach-05,#85c0e9
epithelial-stomach-06,#5f9fcb
epithelial-stomach-07,#1b90e2
epithelial-stomach-08,#8ac2e9
hepatocyte-01,#2a648c
hepatocyte-02,#2f7bb0
hepatocyte-03,#467ca3
other-liver,#7ebce7
venous.capillary,#724b28
ADH1.GKN1.F,#59aae2
Chief,#2b6e9c
epithelial-stomach-09,#a7c5d9
epithelial-stomach-10,#a7b9c5
epithelial-stomach-11,#8bc5ed
epithelial-stomach-12,#347eb1
epithelial-stomach-13,#387299
GKN.F,#749db9
Neuroendocrine1,#3296dc
Neuroendocrine2,#486274
other-stomach,#9cc3de
PG.Neck1,#6ba9d4
PG.Neck2,#6b8ba1
Pr.epi,#2e5876
Erythroid,#bebc9c
Megakaryocyte,#d6d4be
RBC,#d1cb74
erythroid-liver,#b2a81b
B.cell,#c75d92
Cycling.B.cell,#ca7fa5
DZ.GC.cell,#e785b6
FCRL4+.Memory.B,#c6377f
GC.B.cell,#cc97b2
Immature.B,#9a3a6a
LZ.GC.cell,#a96084
Memory.B,#e685b6
Naive.B,#c88caa
Pre.B,#b85687
Pro.B,#b48a9f
STAT1+.Naive.B,#df4c96
CD45.GCB.1,#c5186e
HSP.MZB,#c84185
MZB,#dfa3c1
NS.B,#aa6a8a
FDC,#90dc40
Lymphoid.DC,#879f6e
cDC1,#7fc03a
cDC2,#86bd4c
immune-appendix,#688945
immune-liver,#c6d9b3
immune-liver-1,#c4d8b0
immune-stomach,#aad57d
pDC,#689933
DC,#c2d3b0
immune-stomach-01,#62a021
immune-stomach-02,#a2e45c
CLP,#377b82
ILC2,#33868f
ILC3,#4ad9e8
ILCP,#7dc8cf
LTi.like.NCR+.ILC3,#3b6266
LTi.like.NCR-.ILC3,#b6d7db
immune-colon,#38a1ac
immune-ileum,#b8d5d8
mLTo,#3fd2e1
Cycling.plasma.cell,#9c3a3a
IgA.plasma.cell,#713737
IgG.plasma.cell,#cc9191
IgM.plasma.cell,#cf9e9e
plasma-appendix,#d82b2b
plasma-ileum,#d77a7a
plasma-stomach,#c94848
IgA.M.P,#744c4c
PC,#d79696
Activated.T,#e4573b
CD8.Tmem,#6e3d33
CX3CR1+.CD8.Tmem,#c63d21
MAIT.cell,#e6826e
NK.T.cell,#ca8172
NK.cell,#aa7266
NK.like.cells,#e6b9af
SELL+.CD4.T,#da7965
SELL+.CD8.T,#e27c68
T.cell.CD3.alpha.beta,#d13f22
T.cell.gamma.delta,#7a4c42
T.reticular,#bc968e
TRDV2.TRGV9.gdT,#9f5040
TRGV2.gdT,#c59085
Tfh,#9a2912
Th1,#855a52
Th17,#6d4c45
T.cell.regulatory,#763e33
Treg,#763e33
Tuft,#e8b5ab
gdT,#c78072
immune-T-liver,#b1877f
ICC,#7ab37a
Immature.pericyte,#319431
Mesothelium,#3d5d3d
Pericyte,#2bc22b
Stellate.cell,#82b482
angiogenic.pericyte,#267d26
cycling.stromal,#367036
myofibroblast,#81ea81
pericyte-ileum-01,#9ce19c
pericyte-ileum-02,#9eed9e
CCL11.FB,#4a904a
FibSmo,#1de41d
KLF4.FB,#479347
MFB,#b0e2b0
PDGFRA.FB,#74d774
SM,#659c65
mix-liver-1,#bbbbbb
CLC+.Mast.cell,#aa4142
Macrophage,#c42829
Inflammatory.macrophage,#cdabab
LYVE1+.Macrophage,#9d1414
MMP9+.Inflammatory.macrophage,#b96a6b
MPO+.mono.neutrophil,#713939
Macrophages,#c42829
Mast.cell,#dd7273
Monocyte,#9f6768
Monocytes,#9f6768
Non.inflammatory.macrophage,#743334
Adult.Glia,#893fcd
Differentiating.glia,#a57ccb
cycling.neuroblast,#5c4471
Distal.progenitor,#932176
Stem.cells,#c872b3
TA,#e07fc8
stem-appendix,#c3319f
B-LN1,#9a2a62
B-LN10,#803d5f
B-LN2,#a52866
B-LN3,#7d3257
B-LN4,#c34484
B-LN5,#e0b0c8
B-LN7,#cc9cb4
B-LN8,#9b3b6b
B.Activated-LN5,#b2457b
B.Naive-LN6,#8a1d53
B.Other-LN1,#f093c1
B.Other-LN10,#843a5f
B.Other-LN2,#a04a75
B.Other-LN3,#922e60
B.Other-LN4,#d491b2
B.Other-LN5,#783456
B.Other-LN7,#5c3d4d
B.Other.2-LN7,#c99cb3
B.Plasma-LN3,#bf166a
DC-LN1,#bee892
DC-LN10,#82c938
DC-LN3,#5a8828
DC-LN4,#81cc31
DC-LN5,#87b259
Endothelial,#996a41
Endothelial-LN2,#b47135
Endothelial-LN3,#8e4f18
fibroblast,#79e379
Fibroblast,#79e379
Fibroblast-LN2,#237723
FibroblasticReticular-LN3,#118c11
FibroblasticReticular-LN8,#2d872d
Macrophage-DC-LN3,#ab1314
Macrophage-LN2,#c95a5b
Macrophage-LN3,#c9a6a6
Macrophage-LN7,#9e4748
moDC-LN2,#a6cd7b
Monocyte-LN8,#ec6f70
Neutrophil,#b54141
NK-LN7,#a22e16
Other-LN1,#23a323
Other-LN2,#64d464
Other-LN7,#67ae67
plasma-pancreas,#b22424
Plasma,#b22424
Plasma-LN10,#d13535
Plasma-LN2,#8a2d2d
Plasma-LN3,#d45a5a
Plasma-LN4,#e9a1a1
Plasma-LN5,#c6a2a2
Plasma-LN7,#c53f3f
Plasmablast,#e98181
Plasmablast-LN10,#9f2d2d
Plasmablast-LN4,#895a5a
Plasmacytoid.dendritic.cell,#52762d
Stromal-LN8,#169616
T-LN1,#e34424
T-LN2,#bd5540
T.cell.CD4,#ac402a
T.cell.CD8,#6c4139
acinar-pancreas,#2c90d5
ductal-pancreas,#195d8c
epithelial-pancreas,#2685c7
epithelial2-pancreas,#1e7fc2
Mesenchymal.cell,#32ae32
mixedimmune-pancreas,#56afb8
Pancreatic.A.cell,#5198ca
Pancreatic.D.cell,#256c9e
Type.B.pancreatic.cell,#4a9dd6
B-bonemarrow,#d42d81
Dendritic.cell,#63a320
Endothelial,#996a41
erythroids-bonemarrow,#eae489
mixed,#bbbbbb
other-bonemarrow,#bbbbbb
plasma-bonemarrow,#d08585
Plasmacytoid.dendritic.cell,#52762d
T-bonemarrow,#8c4d40
basal.epithelia,#225a80
club.epithelia,#2686c9
endothelia,#e4c8b1
epithelial-1-prostate,#7baacc
epithelial-2-prostate,#3388c3
epithelial-3-prostate,#9cc9e8
epithelial-4-prostate,#597f9a
epithelial-5-prostate,#63aadb
hillock.epithelia,#3f5767
leukocyte,#c48484
luminal.epithelia,#4a7797
neuroendocrine.epithelia,#78aed3
other-1-prostate,#c49191
other-2-prostate,#d09c9c
smooth.muscle,#68ab68
stromal-prostate,#497149