Protein name,RNA name
4-1BB,TNFRSF9
B7-H3,CD276
Bcl-2,BCL2
Beta-catenin,CTNNB1
CCR7,CCR7
CD11b,ITGAM
CD11c,ITGAX
CD123,IL3RA
CD127,IL7R
CD14,CD14
CD16,FCGR3A/Bâ€™
CD163,CD163
CD19,CD19
CD20,MS4A1
CD27,CD27
CD3,CD3E
CD31,PECAM1
CD34,CD34
CD38,CD38
CD39,ENTPD1
CD4,CD4
CD40,CD40
CD45,PTPRC
CD45RA,PTPRC
CD56,NCAM1
CD68,CD68
CD8,CD8A
CTLA4,CTLA4
EGFR,EGFR
EpCAM,EPCAM
FABP4,FABP4
FOXP3,FOXP3
Fibronectin,FN1
GITR,TNFRSF18
GZMA,GZMA
GZMB,GZMB
HLA-DR,HLA-DRA
Her2,ERBB2
ICAM1,ICAM1
ICOS,ICOS
IDO1,IDO1
IL-18,IL18
IL-1b,IL1B
IgD,IGHD
Ki-67,MKI67
LAG3,LAG3
Ms IgG1,IGHG1
NF-kB p65,RELA
PD-1,PDCD1
PD-L1,CD274
PD-L2,PDCD1LG2
SMA,ACTA2
TCF7,TCF7
Tim-3,HAVCR2
VISTA,VSIR
Vimentin,VIM
p53,TP53
pan-RAS,KRAS